ngram,ngram_length,real_count,fake_count,real_doc_freq,fake_doc_freq,frequency_ratio,frequency_difference,abs_frequency_difference,log_odds_ratio,abs_log_odds,chi2_statistic,chi2_p_value,preference,chi2_fdr_p_value,chi2_significant
ellen degeneres portia,3,2,14,0.00011467232383464251,0.0024326672458731538,21.214074717636837,0.0023179949220385114,0.0023179949220385114,3.0569858152571365,3.0569858152571365,30.451373209652928,3.423409098403783e-08,fake,5.104907096737406e-07,True
jamie foxx s,3,2,14,0.00011467232383464251,0.0024326672458731538,21.214074717636837,0.0023179949220385114,0.0023179949220385114,3.0569858152571365,3.0569858152571365,30.451373209652928,3.423409098403783e-08,fake,5.104907096737406e-07,True
celebrity feuds 2017,3,1,7,5.7336161917321254e-05,0.0012163336229365769,21.214074717636837,0.0011589974610192557,0.0011589974610192557,3.0558245993193687,3.0558245993193687,13.665278659897218,0.0002184565184730751,fake,0.0020129715824087533,True
divorce brad pitt,3,1,7,5.7336161917321254e-05,0.0012163336229365769,21.214074717636837,0.0011589974610192557,0.0011589974610192557,3.0558245993193687,3.0558245993193687,13.665278659897218,0.0002184565184730751,fake,0.0020129715824087533,True
brad pitt s,3,5,31,0.0002866808095866063,0.005386620330147697,18.789609035621197,0.005099939520561091,0.005099939520561091,2.938418464732987,2.938418464732987,69.37657691831596,8.134903528702332e-17,fake,4.124396089052082e-15,True
pregnant baby 4,3,1,6,5.7336161917321254e-05,0.0010425716768027802,18.18349261511729,0.000985235514885459,0.000985235514885459,2.9014999610677346,2.9014999610677346,10.848636749721557,0.000988685157011026,fake,0.007160905351494144,True
blake shelton miranda,3,1,6,5.7336161917321254e-05,0.0010425716768027802,18.18349261511729,0.000985235514885459,0.000985235514885459,2.9014999610677346,2.9014999610677346,10.848636749721557,0.000988685157011026,fake,0.007160905351494144,True
shelton miranda lambert,3,1,6,5.7336161917321254e-05,0.0010425716768027802,18.18349261511729,0.000985235514885459,0.000985235514885459,2.9014999610677346,2.9014999610677346,10.848636749721557,0.000988685157011026,fake,0.007160905351494144,True
live kelly ryan,3,1,6,5.7336161917321254e-05,0.0010425716768027802,18.18349261511729,0.000985235514885459,0.000985235514885459,2.9014999610677346,2.9014999610677346,10.848636749721557,0.000988685157011026,fake,0.007160905351494144,True
katie holmes jamie,3,7,40,0.0004013531334212488,0.0069504778453518675,17.31761201439742,0.0065491247119306185,0.0065491247119306185,2.8582973304012333,2.8582973304012333,88.5736501351202,4.897698996793847e-21,fake,4.1385556522908004e-19,True
holmes jamie foxx,3,7,39,0.0004013531334212488,0.0067767158992180715,16.884671714037484,0.0063753627657968225,0.0063753627657968225,2.8328045595960964,2.8328045595960964,85.6729657590927,2.122955340853496e-20,fake,1.3454229472659032e-18,True
justin theroux s,3,4,22,0.00022934464766928502,0.0038227628149435275,16.668201563857515,0.0035934181672742423,0.0035934181672742423,2.8171035236475364,2.8171035236475364,46.74733912159909,8.075451081581844e-12,fake,2.2745853879788858e-10,True
caitlyn jenner s,3,2,11,0.00011467232383464251,0.0019113814074717638,16.668201563857515,0.0017967090836371212,0.0017967090836371212,2.8153013378798253,2.8153013378798253,21.8340818689854,2.972725409753679e-06,fake,3.767929456862788e-05,True
pitt dating rumors,3,1,5,5.7336161917321254e-05,0.0008688097306689834,15.15291051259774,0.0008114735687516621,0.0008114735687516621,2.719004476105675,2.719004476105675,8.104049436715664,0.004416647706426487,fake,0.02544591349043442,True
angelina jolie jennifer,3,1,5,5.7336161917321254e-05,0.0008688097306689834,15.15291051259774,0.0008114735687516621,0.0008114735687516621,2.719004476105675,2.719004476105675,8.104049436715664,0.004416647706426487,fake,0.02544591349043442,True
jolie jennifer aniston,3,1,5,5.7336161917321254e-05,0.0008688097306689834,15.15291051259774,0.0008114735687516621,0.0008114735687516621,2.719004476105675,2.719004476105675,8.104049436715664,0.004416647706426487,fake,0.02544591349043442,True
jennifer garner dating,3,1,5,5.7336161917321254e-05,0.0008688097306689834,15.15291051259774,0.0008114735687516621,0.0008114735687516621,2.719004476105675,2.719004476105675,8.104049436715664,0.004416647706426487,fake,0.02544591349043442,True
mit professor neri,3,1,5,5.7336161917321254e-05,0.0008688097306689834,15.15291051259774,0.0008114735687516621,0.0008114735687516621,2.719004476105675,2.719004476105675,8.104049436715664,0.004416647706426487,fake,0.02544591349043442,True
lambert anderson east,3,1,5,5.7336161917321254e-05,0.0008688097306689834,15.15291051259774,0.0008114735687516621,0.0008114735687516621,2.719004476105675,2.719004476105675,8.104049436715664,0.004416647706426487,fake,0.02544591349043442,True
split justin theroux,3,1,5,5.7336161917321254e-05,0.0008688097306689834,15.15291051259774,0.0008114735687516621,0.0008114735687516621,2.719004476105675,2.719004476105675,8.104049436715664,0.004416647706426487,fake,0.02544591349043442,True
biggest celebrity feuds,3,1,5,5.7336161917321254e-05,0.0008688097306689834,15.15291051259774,0.0008114735687516621,0.0008114735687516621,2.719004476105675,2.719004476105675,8.104049436715664,0.004416647706426487,fake,0.02544591349043442,True
miranda lambert anderson,3,1,5,5.7336161917321254e-05,0.0008688097306689834,15.15291051259774,0.0008114735687516621,0.0008114735687516621,2.719004476105675,2.719004476105675,8.104049436715664,0.004416647706426487,fake,0.02544591349043442,True
tom cruise s,3,2,9,0.00011467232383464251,0.0015638575152041702,13.637619461337966,0.0014491851913695276,0.0014491851913695276,2.6142825136064993,2.6142825136064993,16.23696052107083,5.5892952639794516e-05,fake,0.0005556417056544279,True
angelina jolie s,3,10,44,0.0005733616191732126,0.007645525629887055,13.334561251086011,0.007072164010713843,0.007072164010713843,2.597460631474218,2.597460631474218,90.1635688019901,2.192624941362121e-21,fake,2.223321690541191e-19,True
blake shelton gwen,3,5,20,0.0002866808095866063,0.0034752389226759338,12.122328410078191,0.0031885581130893276,0.0031885581130893276,2.4982436449147025,2.4982436449147025,37.95532419643729,7.238327006411891e-10,fake,1.529096580104512e-08,True
travis scott kylie,3,1,4,5.7336161917321254e-05,0.0006950477845351868,12.122328410078193,0.0006377116226178655,0.0006377116226178655,2.495687026869107,2.495687026869107,5.474592549042904,0.01929485813101644,fake,0.07953246400345801,False
s girlfriend lindsay,3,1,4,5.7336161917321254e-05,0.0006950477845351868,12.122328410078193,0.0006377116226178655,0.0006377116226178655,2.495687026869107,2.495687026869107,5.474592549042904,0.01929485813101644,fake,0.07953246400345801,False
rumors s dating,3,1,4,5.7336161917321254e-05,0.0006950477845351868,12.122328410078193,0.0006377116226178655,0.0006377116226178655,2.495687026869107,2.495687026869107,5.474592549042904,0.01929485813101644,fake,0.07953246400345801,False
robert pattinson fka,3,1,4,5.7336161917321254e-05,0.0006950477845351868,12.122328410078193,0.0006377116226178655,0.0006377116226178655,2.495687026869107,2.495687026869107,5.474592549042904,0.01929485813101644,fake,0.07953246400345801,False
affleck s girlfriend,3,1,4,5.7336161917321254e-05,0.0006950477845351868,12.122328410078193,0.0006377116226178655,0.0006377116226178655,2.495687026869107,2.495687026869107,5.474592549042904,0.01929485813101644,fake,0.07953246400345801,False
angelina jolie gets,3,1,4,5.7336161917321254e-05,0.0006950477845351868,12.122328410078193,0.0006377116226178655,0.0006377116226178655,2.495687026869107,2.495687026869107,5.474592549042904,0.01929485813101644,fake,0.07953246400345801,False
kim kardashian slams,3,1,4,5.7336161917321254e-05,0.0006950477845351868,12.122328410078193,0.0006377116226178655,0.0006377116226178655,2.495687026869107,2.495687026869107,5.474592549042904,0.01929485813101644,fake,0.07953246400345801,False
jessica parker matthew,3,1,4,5.7336161917321254e-05,0.0006950477845351868,12.122328410078193,0.0006377116226178655,0.0006377116226178655,2.495687026869107,2.495687026869107,5.474592549042904,0.01929485813101644,fake,0.07953246400345801,False
ben affleck divorce,3,1,4,5.7336161917321254e-05,0.0006950477845351868,12.122328410078193,0.0006377116226178655,0.0006377116226178655,2.495687026869107,2.495687026869107,5.474592549042904,0.01929485813101644,fake,0.07953246400345801,False
jennifer aniston s,3,8,31,0.00045868929533857003,0.005386620330147697,11.743505647263248,0.004927931034809127,0.004927931034809127,2.468242762872184,2.468242762872184,59.70395364340355,1.1025482912477044e-14,fake,3.992799883304187e-13,True
shelton gwen stefani,3,5,19,0.0002866808095866063,0.0033014769765421373,11.516211989574282,0.003014796166955531,0.003014796166955531,2.4467759978111667,2.4467759978111667,35.190506305723794,2.9897750579417603e-09,fake,6.06326381750589e-08,True
pitt angelina jolie,3,13,46,0.0007453701049251763,0.007993049522154648,10.723598208915325,0.007247679417229471,0.007247679417229471,2.379726270300632,2.379726270300632,86.7579531663003,1.2264958736926841e-20,fake,8.88333439945987e-19,True
angelina jolie brad,3,2,7,0.00011467232383464251,0.0012163336229365769,10.607037358818419,0.0011016612991019343,0.0011016612991019343,2.362620077665913,2.362620077665913,10.849143212384318,0.000988414787122532,fake,0.007160905351494144,True
professor neri oxman,3,2,7,0.00011467232383464251,0.0012163336229365769,10.607037358818419,0.0011016612991019343,0.0011016612991019343,2.362620077665913,2.362620077665913,10.849143212384318,0.000988414787122532,fake,0.007160905351494144,True
jolie brad pitt,3,2,7,0.00011467232383464251,0.0012163336229365769,10.607037358818419,0.0011016612991019343,0.0011016612991019343,2.362620077665913,2.362620077665913,10.849143212384318,0.000988414787122532,fake,0.007160905351494144,True
brad pitt angelina,3,13,45,0.0007453701049251763,0.007819287576020852,10.490476508721514,0.007073917471095675,0.007073917471095675,2.3575722168960604,2.3575722168960604,84.00223439096217,4.942158849602543e-20,fake,2.7840828186094324e-18,True
miley cyrus liam,3,6,19,0.00034401697150392754,0.0033014769765421373,9.596843324645237,0.0029574600050382097,0.0029574600050382097,2.264397086768681,2.264397086768681,32.461303512464426,1.2158966585411033e-08,fake,2.2831837254827383e-07,True
cyrus liam hemsworth,3,6,19,0.00034401697150392754,0.0033014769765421373,9.596843324645237,0.0029574600050382097,0.0029574600050382097,2.264397086768681,2.264397086768681,32.461303512464426,1.2158966585411033e-08,fake,2.2831837254827383e-07,True
sterling k brown,3,29,1,0.0016627486956023163,0.0001737619461337967,0.10450283112136373,-0.0014889867494685197,0.0014889867494685197,-2.260031471425779,2.260031471425779,6.319393937335569,0.011942443974642466,real,0.0605481909514373,False
donald trump s,3,4,12,0.00022934464766928502,0.0020851433536055604,9.091746307558646,0.0018557987059362754,0.0018557987059362754,2.209224952121307,2.209224952121307,19.011636715701535,1.2992369208392163e-05,fake,0.00015318909741057735,True
miranda lambert blake,3,3,9,0.00017200848575196377,0.0015638575152041702,9.091746307558644,0.0013918490294522064,0.0013918490294522064,2.208760061116635,2.208760061116635,13.63219273776431,0.0002223400564396256,fake,0.0020129715824087533,True
lambert blake shelton,3,3,9,0.00017200848575196377,0.0015638575152041702,9.091746307558644,0.0013918490294522064,0.0013918490294522064,2.208760061116635,2.208760061116635,13.63219273776431,0.0002223400564396256,fake,0.0020129715824087533,True
meghan markle wedding,3,2,6,0.00011467232383464251,0.0010425716768027802,9.091746307558646,0.0009278993529681377,0.0009278993529681377,2.208295439414279,2.208295439414279,8.282533873067292,0.004002823151181673,fake,0.02544591349043442,True
bieber s engagement,3,2,6,0.00011467232383464251,0.0010425716768027802,9.091746307558646,0.0009278993529681377,0.0009278993529681377,2.208295439414279,2.208295439414279,8.282533873067292,0.004002823151181673,fake,0.02544591349043442,True
kendall kylie jenner,3,2,6,0.00011467232383464251,0.0010425716768027802,9.091746307558646,0.0009278993529681377,0.0009278993529681377,2.208295439414279,2.208295439414279,8.282533873067292,0.004002823151181673,fake,0.02544591349043442,True
kristen stewart robert,3,2,6,0.00011467232383464251,0.0010425716768027802,9.091746307558646,0.0009278993529681377,0.0009278993529681377,2.208295439414279,2.208295439414279,8.282533873067292,0.004002823151181673,fake,0.02544591349043442,True
stewart robert pattinson,3,2,6,0.00011467232383464251,0.0010425716768027802,9.091746307558646,0.0009278993529681377,0.0009278993529681377,2.208295439414279,2.208295439414279,8.282533873067292,0.004002823151181673,fake,0.02544591349043442,True
millie bobby brown,3,27,1,0.001548076371767674,0.0001737619461337967,0.11224378157479807,-0.0013743144256338773,0.0013743144256338773,-2.1884576507272615,2.1884576507272615,5.686863555331621,0.017092377372746385,real,0.07807058854038214,False
american music awards,3,26,1,0.0014907402098503525,0.0001737619461337967,0.1165608500969057,-0.0013169782637165559,0.0013169782637165559,-2.1506598993328736,2.1506598993328736,5.372236576908078,0.020459727028930768,real,0.08365388390054758,False
aniston justin theroux,3,13,36,0.0007453701049251763,0.006255430060816681,8.39238120697721,0.005510059955891504,0.005510059955891504,2.1328537243165897,2.1328537243165897,59.736967013468934,1.0842078295714918e-14,fake,3.992799883304187e-13,True
jennifer aniston justin,3,13,36,0.0007453701049251763,0.006255430060816681,8.39238120697721,0.005510059955891504,0.005510059955891504,2.1328537243165897,2.1328537243165897,59.736967013468934,1.0842078295714918e-14,fake,3.992799883304187e-13,True
kourtney kardashian younes,3,4,11,0.00022934464766928502,0.0019113814074717638,8.334100781928758,0.0016820367598024788,0.0016820367598024788,2.1220394652679135,2.1220394652679135,16.43086266401631,5.045698890518756e-05,fake,0.0005116338674986019,True
kardashian younes bendjima,3,4,11,0.00022934464766928502,0.0019113814074717638,8.334100781928758,0.0016820367598024788,0.0016820367598024788,2.1220394652679135,2.1220394652679135,16.43086266401631,5.045698890518756e-05,fake,0.0005116338674986019,True
blake shelton s,3,7,19,0.0004013531334212488,0.0033014769765421373,8.225865706838773,0.0029001238431208883,0.0029001238431208883,2.1101890494031923,2.1101890494031923,29.967340466465785,4.3938487754732944e-08,fake,6.364803797614171e-07,True
justin bieber selena,3,10,27,0.0005733616191732126,0.004691572545612511,8.182571676802779,0.004118210926439298,0.004118210926439298,2.1061355735846674,2.1061355735846674,43.53174655360611,4.171370157518166e-11,fake,9.613112135735047e-10,True
bieber selena gomez,3,10,27,0.0005733616191732126,0.004691572545612511,8.182571676802779,0.004118210926439298,0.004118210926439298,2.1061355735846674,2.1061355735846674,43.53174655360611,4.171370157518166e-11,fake,9.613112135735047e-10,True
travis scott s,3,3,8,0.00017200848575196377,0.0013900955690703736,8.081552273385462,0.0012180870833184098,0.0012180870833184098,2.0908030064917447,2.0908030064917447,11.097296284773615,0.0008645366852203969,fake,0.006957461895345099,True
selena gomez justin,3,16,40,0.0009173785906771401,0.0069504778453518675,7.57645525629887,0.006033099254674728,0.006033099254674728,2.0311023912739685,2.0311023912739685,62.91617768631936,2.1569330724042985e-15,fake,9.941500615536176e-14,True
camilla parker bowles,3,2,5,0.00011467232383464251,0.0008688097306689834,7.57645525629887,0.000754137406834341,0.000754137406834341,2.025799954452219,2.025799954452219,5.849136222772131,0.015584698940035493,fake,0.07316150335738884,False
robert downey jr,3,2,5,0.00011467232383464251,0.0008688097306689834,7.57645525629887,0.000754137406834341,0.000754137406834341,2.025799954452219,2.025799954452219,5.849136222772131,0.015584698940035493,fake,0.07316150335738884,False
younes bendjima s,3,2,5,0.00011467232383464251,0.0008688097306689834,7.57645525629887,0.000754137406834341,0.000754137406834341,2.025799954452219,2.025799954452219,5.849136222772131,0.015584698940035493,fake,0.07316150335738884,False
sandra bullock s,3,2,5,0.00011467232383464251,0.0008688097306689834,7.57645525629887,0.000754137406834341,0.000754137406834341,2.025799954452219,2.025799954452219,5.849136222772131,0.015584698940035493,fake,0.07316150335738884,False
girlfriend lindsay shookus,3,2,5,0.00011467232383464251,0.0008688097306689834,7.57645525629887,0.000754137406834341,0.000754137406834341,2.025799954452219,2.025799954452219,5.849136222772131,0.015584698940035493,fake,0.07316150335738884,False
gosling eva mendes,3,2,5,0.00011467232383464251,0.0008688097306689834,7.57645525629887,0.000754137406834341,0.000754137406834341,2.025799954452219,2.025799954452219,5.849136222772131,0.015584698940035493,fake,0.07316150335738884,False
ryan gosling eva,3,2,5,0.00011467232383464251,0.0008688097306689834,7.57645525629887,0.000754137406834341,0.000754137406834341,2.025799954452219,2.025799954452219,5.849136222772131,0.015584698940035493,fake,0.07316150335738884,False
critics choice awards,3,21,1,0.0012040594002637464,0.0001737619461337967,0.14431343345331182,-0.0010302974541299497,0.0010302974541299497,-1.9367987314284225,1.9367987314284225,3.8212851256816607,0.05060541012944214,real,0.18591987634512439,False
choice awards 2018,3,21,1,0.0012040594002637464,0.0001737619461337967,0.14431343345331182,-0.0010302974541299497,0.0010302974541299497,-1.9367987314284225,1.9367987314284225,3.8212851256816607,0.05060541012944214,real,0.18591987634512439,False
handmaid s tale,3,20,1,0.0011467232383464252,0.0001737619461337967,0.1515291051259774,-0.0009729612922126285,0.0009729612922126285,-1.8879511636253246,1.8879511636253246,3.5169818634854897,0.060742967299521146,real,0.20624449685250182,False
ben affleck jennifer,3,6,13,0.00034401697150392754,0.002258905299739357,6.566261222125687,0.0019148883282354293,0.0019148883282354293,1.883861986662224,1.883861986662224,17.117688035722246,3.513357240143877e-05,fake,0.0003872330697289012,True
music awards 2018,3,19,1,0.0010893870764291038,0.0001737619461337967,0.15950432118523938,-0.0009156251302953071,0.0009156251302953071,-1.8366004688990962,1.8366004688990962,3.2153177726954243,0.0729520248672964,real,0.2417429843641783,False
kim kardashian kanye,3,19,38,0.0010893870764291038,0.006602953953084275,6.061164205039097,0.005513566876655171,0.005513566876655171,1.8074367636748117,1.8074367636748117,51.43739862620699,7.391692146247894e-13,fake,2.3422424488423015e-11,True
kardashian kanye west,3,19,38,0.0010893870764291038,0.006602953953084275,6.061164205039097,0.005513566876655171,0.005513566876655171,1.8074367636748117,1.8074367636748117,51.43739862620699,7.391692146247894e-13,fake,2.3422424488423015e-11,True
affleck jennifer garner,3,6,12,0.00034401697150392754,0.0020851433536055604,6.061164205039097,0.0017411263821016328,0.0017411263821016328,1.8036451388054004,1.8036451388054004,14.746760044663311,0.00012295863531745996,fake,0.0011988466943452347,True
gwen stefani s,3,5,10,0.0002866808095866063,0.0017376194613379669,6.061164205039096,0.0014509386517513605,0.0014509386517513605,1.8033543036353723,1.8033543036353723,11.94049584682461,0.0005492685934213098,fake,0.004491599626848453,True
markle kate middleton,3,3,6,0.00017200848575196377,0.0010425716768027802,6.061164205039097,0.0008705631910508164,0.0008705631910508164,1.8027729869244145,1.8027729869244145,6.359938348049958,0.011672559941996737,fake,0.05977765546052874,False
meghan markle kate,3,3,6,0.00017200848575196377,0.0010425716768027802,6.061164205039097,0.0008705631910508164,0.0008705631910508164,1.8027729869244145,1.8027729869244145,6.359938348049958,0.011672559941996737,fake,0.05977765546052874,False
prince william s,3,3,6,0.00017200848575196377,0.0010425716768027802,6.061164205039097,0.0008705631910508164,0.0008705631910508164,1.8027729869244145,1.8027729869244145,6.359938348049958,0.011672559941996737,fake,0.05977765546052874,False
dakota johnson chris,3,2,4,0.00011467232383464251,0.0006950477845351868,6.061164205039097,0.0005803754607005443,0.0005803754607005443,1.8024825052156512,1.8024825052156512,3.615425323334002,0.057246082156571836,fake,0.19744056907062532,False
jennifer garner josh,3,2,4,0.00011467232383464251,0.0006950477845351868,6.061164205039097,0.0005803754607005443,0.0005803754607005443,1.8024825052156512,1.8024825052156512,3.615425323334002,0.057246082156571836,fake,0.19744056907062532,False
kim kardashian gets,3,2,4,0.00011467232383464251,0.0006950477845351868,6.061164205039097,0.0005803754607005443,0.0005803754607005443,1.8024825052156512,1.8024825052156512,3.615425323334002,0.057246082156571836,fake,0.19744056907062532,False
nude photo shoot,3,2,4,0.00011467232383464251,0.0006950477845351868,6.061164205039097,0.0005803754607005443,0.0005803754607005443,1.8024825052156512,1.8024825052156512,3.615425323334002,0.057246082156571836,fake,0.19744056907062532,False
garner josh duhamel,3,2,4,0.00011467232383464251,0.0006950477845351868,6.061164205039097,0.0005803754607005443,0.0005803754607005443,1.8024825052156512,1.8024825052156512,3.615425323334002,0.057246082156571836,fake,0.19744056907062532,False
johnson chris martin,3,2,4,0.00011467232383464251,0.0006950477845351868,6.061164205039097,0.0005803754607005443,0.0005803754607005443,1.8024825052156512,1.8024825052156512,3.615425323334002,0.057246082156571836,fake,0.19744056907062532,False
jennifer lopez alex,3,13,25,0.0007453701049251763,0.004344048653344918,5.8280425048452855,0.0035986785484197416,0.0035986785484197416,1.7662890449352115,1.7662890449352115,32.09847543937169,1.46552274421503e-08,fake,2.5621380390242077e-07,True
lopez alex rodriguez,3,13,25,0.0007453701049251763,0.004344048653344918,5.8280425048452855,0.0035986785484197416,0.0035986785484197416,1.7662890449352115,1.7662890449352115,32.09847543937169,1.46552274421503e-08,fake,2.5621380390242077e-07,True
gomez justin bieber,3,16,30,0.0009173785906771401,0.005212858384013901,5.682341442224153,0.004295479793336761,0.004295479793336761,1.7416720666286585,1.7416720666286585,38.19962982675377,6.386453527109629e-10,fake,1.4077964948889485e-08,True
jenner travis scott,3,13,24,0.0007453701049251763,0.004170286707211121,5.5949208046514745,0.0034249166022859447,0.0034249166022859447,1.7252925455720043,1.7252925455720043,29.75762668059322,4.895764847761326e-08,fake,6.894868827263867e-07,True
awards red carpet,3,17,1,0.0009747147525944614,0.0001737619461337967,0.17826953544232635,-0.0008009528064606647,0.0008009528064606647,-1.7252600429949676,1.7252600429949676,2.621647529439752,0.1054149393833967,real,0.3404163966075294,False
scott disick s,3,6,11,0.00034401697150392754,0.0019113814074717638,5.556067187952505,0.0015673644359678362,0.0015673644359678362,1.7164596519520068,1.7164596519520068,12.454003405142986,0.00041709686266180055,fake,0.0034666903175333257,True
kidman keith urban,3,6,11,0.00034401697150392754,0.0019113814074717638,5.556067187952505,0.0015673644359678362,0.0015673644359678362,1.7164596519520068,1.7164596519520068,12.454003405142986,0.00041709686266180055,fake,0.0034666903175333257,True
nicole kidman keith,3,6,11,0.00034401697150392754,0.0019113814074717638,5.556067187952505,0.0015673644359678362,0.0015673644359678362,1.7164596519520068,1.7164596519520068,12.454003405142986,0.00041709686266180055,fake,0.0034666903175333257,True
david victoria beckham,3,5,9,0.0002866808095866063,0.0015638575152041702,5.455047784535187,0.001277176705617564,0.001277176705617564,1.697819738721167,1.697819738721167,9.680209489128996,0.0018626339131527592,fake,0.013116047138450678,True
billboard music awards,3,66,4,0.0037841866865432026,0.0006950477845351868,0.18367164257694232,-0.003089138902008016,0.003089138902008016,-1.6977017421872964,1.6977017421872964,12.717254998385231,0.0003622971646912708,real,0.003166976939628867,True
kylie jenner travis,3,13,23,0.0007453701049251763,0.003996524761077324,5.3617991044576625,0.003251154656152148,0.003251154656152148,1.6825584567568832,1.6825584567568832,27.45564290712527,1.6073917770104436e-07,fake,2.2025611647143105e-06,True
jennifer aniston split,3,4,7,0.00022934464766928502,0.0012163336229365769,5.303518679409209,0.000986988975267292,0.000986988975267292,1.669358205054001,1.669358205054001,6.932740230225171,0.008463192317258532,fake,0.046138048439248125,True
jolie s divorce,3,4,7,0.00022934464766928502,0.0012163336229365769,5.303518679409209,0.000986988975267292,0.000986988975267292,1.669358205054001,1.669358205054001,6.932740230225171,0.008463192317258532,fake,0.046138048439248125,True
chip joanna gaines,3,16,1,0.0009173785906771401,0.0001737619461337967,0.18941138140747177,-0.0007436166445433434,0.0007436166445433434,-1.6645780307225497,1.6645780307225497,2.330767535921203,0.1268393227278791,real,0.38739479893394396,False
boyfriend joe alwyn,3,3,5,0.00017200848575196377,0.0008688097306689834,5.050970170865913,0.0006968012449170196,0.0006968012449170196,1.6202775019623548,1.6202775019623548,4.240389370502387,0.039473113169159926,fake,0.1482434694575117,False
chrissy teigen s,3,15,1,0.0008600424287598189,0.0001737619461337967,0.20203880683463654,-0.0006862804826260222,0.0006862804826260222,-1.599982122422471,1.599982122422471,2.0448430184259787,0.1527227374571261,real,0.4399456130156985,False
teigen john legend,3,15,1,0.0008600424287598189,0.0001737619461337967,0.20203880683463654,-0.0006862804826260222,0.0006862804826260222,-1.599982122422471,1.599982122422471,2.0448430184259787,0.1527227374571261,real,0.4399456130156985,False
chrissy teigen john,3,15,1,0.0008600424287598189,0.0001737619461337967,0.20203880683463654,-0.0006862804826260222,0.0006862804826260222,-1.599982122422471,1.599982122422471,2.0448430184259787,0.1527227374571261,real,0.4399456130156985,False
